NumPCs,FRMI_GR50
0,4.14915
1,4.63314
2,2.50403
3,1.13827
4,1.13791
5,1.13717
6,1.14447
7,1.12132
8,1.13472
9,1.06029
10,1.06572
11,1.01971
12,1.02355
13,1.00791
14,1.00747
15,1.01128
16,1.02335
17,0.998285
18,0.997193
19,0.999782
20,0.996773
