NumPCs,LINC_GR50
0,7.73916
1,9.17851
2,1.58618
3,1.19838
4,1.03973
5,1.03136
6,1.02913
7,1.02195
8,1.01897
9,1.00128
10,1.00237
11,1.00596
12,1.0089
13,1.00507
14,1.00648
15,1.01077
16,1.01108
17,1.01344
18,1.019
19,1.0213699999999999
20,1.02313
