NumPCs,KING_GR50
0,5.26294
1,4.25473
2,1.88877
3,1.07667
4,1.06369
5,1.05339
6,1.0273
7,1.01524
8,1.00371
9,0.970168
10,0.973361
11,0.978723
12,0.975416
13,0.972034
14,0.969031
15,0.973655
16,0.97569
17,0.977094
18,0.977856
19,0.976198
20,0.977566
