NumPCs,PKLE_FL50
0,19.6626
1,21.3471
2,3.27556
3,1.59568
4,1.38651
5,1.30922
6,1.31168
7,1.18428
8,1.13731
9,1.14367
10,1.126
11,1.12329
12,1.10711
13,1.0821
14,1.08193
15,1.07789
16,1.08005
17,1.08181
18,1.0837
19,1.08474
20,1.08686
