NumPCs,BRKG_D2F
0,7.45137
1,8.8735
2,1.33729
3,1.26442
4,1.1439
5,1.17522
6,1.18162
7,1.19185
8,1.09948
9,1.08612
10,1.09173
11,1.09418
12,1.05406
13,1.05993
14,1.06315
15,1.03157
16,1.02881
17,1.02549
18,1.03269
19,1.03317
20,1.04926
