NumPCs,BRKG_FL50
0,12.6654
1,15.1671
2,1.86162
3,1.37706
4,1.17484
5,1.19815
6,1.19775
7,1.18419
8,1.15639
9,1.15014
10,1.16129
11,1.1166
12,1.07284
13,1.07196
14,1.07383
15,1.05387
16,1.0525
17,1.04378
18,1.04756
19,1.04737
20,1.06369
