NumPCs,STIL_FL50
0,9.00925
1,10.2218
2,2.12354
3,1.43577
4,1.2525
5,1.16486
6,1.17316
7,1.15821
8,1.15222
9,1.12539
10,1.12516
11,1.06988
12,1.07811
13,1.03964
14,1.04699
15,1.03268
16,1.04115
17,1.00953
18,1.01032
19,1.01014
20,1.01241
