NumPCs,KING_D2F
0,7.74437
1,6.91937
2,2.99299
3,1.35536
4,1.34168
5,1.2252
6,1.19729
7,1.12111
8,1.11264
9,1.07979
10,1.06148
11,1.02883
12,1.0316
13,1.02106
14,1.02186
15,1.01948
16,1.01972
17,1.0223
18,1.02256
19,1.02621
20,1.02769
