NumPCs,KBSM_FL50
0,23.0621
1,24.7844
2,4.20705
3,1.98474
4,1.26117
5,1.25275
6,1.2641
7,1.14283
8,1.14936
9,1.14059
10,1.14259
11,1.13997
12,1.13435
13,1.08672
14,1.06161
15,1.04215
16,1.03818
17,1.02241
18,1.02393
19,1.02553
20,1.02805
