NumPCs,CLMB_GR50
0,6.73054
1,7.87648
2,2.54734
3,1.25887
4,1.26134
5,1.23461
6,1.20802
7,1.2121
8,1.08842
9,1.08978
10,1.09146
11,1.0767
12,1.08086
13,1.06638
14,1.04585
15,1.04733
16,1.04369
17,1.04538
18,1.04995
19,1.05212
20,1.04819
