NumPCs,STIL_D2F
0,7.6624
1,8.58157
2,1.60662
3,1.22297
4,1.11626
5,1.10442
6,1.10479
7,1.08493
8,1.06203
9,1.05958
10,1.06334
11,1.03733
12,1.02254
13,1.0231
14,1.03427
15,1.03456
16,1.03439
17,1.02842
18,1.02529
19,1.01459
20,1.01712
