NumPCs,CLMB_D2F
0,14.7912
1,17.0571
2,1.73238
3,1.62836
4,1.23113
5,1.22902
6,1.2353
7,1.17968
8,1.17187
9,1.17571
10,1.17844
11,1.18213
12,1.16783
13,1.16633
14,1.14133
15,1.12834
16,1.12515
17,1.12286
18,1.12387
19,1.12531
20,1.12528
