NumPCs,TMPL_D2F
0,14.7591
1,15.3552
2,4.17739
3,1.49298
4,1.38826
5,1.17247
6,1.17143
7,1.12708
8,1.13478
9,1.08061
10,1.08358
11,1.07176
12,1.06891
13,1.04505
14,1.04509
15,1.04842
16,1.04396
17,1.04438
18,1.04428
19,1.04541
20,1.0415
