NumPCs,PKLE_D2F
0,22.9779
1,24.0658
2,4.00523
3,1.79741
4,1.61612
5,1.46058
6,1.47063
7,1.35158
8,1.17301
9,1.1783
10,1.17841
11,1.17168
12,1.13226
13,1.09086
14,1.09431
15,1.08805
16,1.088
17,1.08874
18,1.09032
19,1.08999
20,1.09174
