NumPCs,FRMI_FL50
0,10.749
1,8.27103
2,2.30754
3,1.21251
4,1.16847
5,1.13807
6,1.12441
7,1.10056
8,1.11068
9,1.09205
10,1.08732
11,1.04431
12,1.04502
13,1.04079
14,1.04376
15,1.02731
16,1.02821
17,1.03173
18,1.0433
19,1.04203
20,1.04501
