NumPCs,PKLE_GR50
0,20.69
1,20.2561
2,3.86685
3,1.58912
4,1.6054
5,1.40831
6,1.40316
7,1.39445
8,1.15614
9,1.15861
10,1.13552
11,1.13839
12,1.12956
13,1.07321
14,1.06811
15,1.07078
16,1.06507
17,1.05995
18,1.0606
19,1.04364
20,1.04459
