NumPCs,KING_FL50
0,8.22034
1,7.24603
2,3.18639
3,1.50009
4,1.47126
5,1.24312
6,1.24996
7,1.1457
8,1.13842
9,1.12506
10,1.08359
11,1.03819
12,1.03762
13,1.03177
14,1.03294
15,1.03488
16,1.0369
17,1.03558
18,1.03572
19,1.0383
20,1.03537
