NumPCs,KBSM_D2F
0,22.0789
1,24.0782
2,3.21349
3,1.90072
4,1.18934
5,1.173
6,1.18586
7,1.10901
8,1.11447
9,1.1094
10,1.11091
11,1.11672
12,1.11433
13,1.09322
14,1.0605
15,1.03908
16,1.03139
17,1.02859
18,1.03013
19,1.03152
20,1.03095
