NumPCs,CLMB_FL50
0,20.7537
1,22.4888
2,3.33318
3,1.73118
4,1.39466
5,1.30691
6,1.29361
7,1.22025
8,1.20181
9,1.20386
10,1.20633
11,1.20202
12,1.1948
13,1.1359
14,1.13538
15,1.1281
16,1.12828
17,1.12433
18,1.12278
19,1.12395
20,1.12765
