NumPCs,STIL_GR50
0,1.48791
1,1.58164
2,1.04043
3,1.02639
4,1.03084
5,1.03735
6,1.04061
7,1.04383
8,1.04594
9,1.05032
10,1.0461
11,1.05175
12,1.01816
13,1.022
14,1.02439
15,1.02607
16,1.02757
17,1.02705
18,1.02786
19,1.02537
20,1.02693
