NumPCs,KBSM_GR50
0,7.93405
1,10.8381
2,3.09498
3,1.16372
4,1.14845
5,1.16001
6,1.16548
7,1.1187
8,1.06544
9,1.07047
10,1.05468
11,1.04491
12,1.04516
13,1.03565
14,1.03751
15,1.03996
16,1.04155
17,1.01945
18,1.02136
19,1.02147
20,1.02297
