NumPCs,LINC_D2F
0,8.83921
1,11.1763
2,1.60778
3,1.48664
4,1.07999
5,1.088
6,1.09343
7,1.09124
8,1.07456
9,1.06209
10,1.06703
11,1.07708
12,1.07138
13,1.07903
14,1.07934
15,1.0588
16,1.05949
17,1.04264
18,1.03608
19,1.038
20,1.03892
