NumPCs,FRMI_D2F
0,10.0271
1,7.76491
2,1.18201
3,1.19077
4,1.14359
5,1.10479
6,1.11936
7,1.12131
8,1.12037
9,1.11772
10,1.11649
11,1.08921
12,1.09108
13,1.09135
14,1.09517
15,1.07314
16,1.07336
17,1.07056
18,1.06836
19,1.05721
20,1.0604
