PLANT_ID,FL50_eight_sites,dyln_fl50_eight_sites,cgdd_12c_gr2fl_eight_sites,FL50_tx_sites,dyln_fl50_tx_sites,cgdd_12c_gr2fl_tx_sites,crain_gr2fl_tx_sites,crain_1d_tx_sites,GR50_tx_sites,cgdd_12c_10d_tx_sites,FL50_north_sites,dyln_fl50_north_sites,cgdd_12c_gr2fl_north_sites,crain_gr2fl_north_sites,crain_1d_north_sites,GR50_north_sites,cgdd_12c_10d_north_sites,FL50_TX1,dyln_fl50_TX1,cgdd_12c_gr2fl_TX1,crain_gr2fl_TX1,crain_1d_TX1,GR50_TX1,cgdd_12c_10d_TX1,FL50_TX2,dyln_fl50_TX2,cgdd_12c_gr2fl_TX2,crain_gr2fl_TX2,crain_1d_TX2,GR50_TX2,cgdd_12c_10d_TX2,FL50_TX3,dyln_fl50_TX3,cgdd_12c_gr2fl_TX3,crain_gr2fl_TX3,crain_1d_TX3,GR50_TX3,cgdd_12c_10d_TX3,FL50_OK,dyln_fl50_OK,cgdd_12c_gr2fl_OK,crain_gr2fl_OK,crain_1d_OK,GR50_OK,cgdd_12c_10d_OK,FL50_MO,dyln_fl50_MO,cgdd_12c_gr2fl_MO,crain_gr2fl_MO,crain_1d_MO,GR50_MO,cgdd_12c_10d_MO,FL50_NE,dyln_fl50_NE,cgdd_12c_gr2fl_NE,crain_gr2fl_NE,crain_1d_NE,GR50_NE,cgdd_12c_10d_NE,FL50_MI,dyln_fl50_MI,cgdd_12c_gr2fl_MI,crain_gr2fl_MI,crain_1d_MI,GR50_MI,cgdd_12c_10d_MI,FL50_SD,dyln_fl50_SD,cgdd_12c_gr2fl_SD,crain_gr2fl_SD,crain_1d_SD,GR50_SD,cgdd_12c_10d_SD
J660.C,14.522021359490179,-0.3871353834360274,261.67474084615645,24.147075201670475,-0.5757983390758125,502.8031307070835,18.22892719176491,-0.22191100756507817,-5.21102464055584,0.39598336269516954,0.9429784420936806,-0.023108128292546375,45.07463493602263,10.37296168833765,-0.0087022424810313,-4.037106707241605,-0.6895129143065752,7.175525180643572,-0.03490529724806806,143.342485155514,5.289060741056545,-1.3265110488869505,-1.799001565523441,0.01007383263984376,69.90683251235504,-1.822680781572392,1346.2474911436757,60.07219257456822,-0.36126629002635113,-7.214241454972248,2.1201174054646943,-3.53599248265994,0.10856596077073546,-52.488275004571406,-0.49381071953705186,-0.282470564905872,-4.495596392493764,-0.24490124033685226,2.848368646080282,-0.0971836115796515,44.701487219291394,4.903592389343089e-4,0.9556571470776872,-0.2992185520871623,-0.05546144372635748,4.174205399422445,-0.1291061477267474,131.80893542482576,68.58994802607775,-0.14120107490094116,-16.129523647168455,-2.9242742600588048,1.7098645664954486,-0.07714845049652326,1.4535428856674315,-0.2553327211748493,0.2524681395159467,0.21657337633007678,0.25225055568130617,-0.5682821201217472,0.031211761485283377,10.590963973290963,-2.066985259696676,-2.435364886087919,-2.4796580881492742,-0.830527599722056,4.928494237915725,-0.22665037555722645,24.608702950338966,17.518268389853304,-2.3416801679188377,1.432468561635533,0.20920453969866826
J662.D,-0.7391331049917247,0.03306491439547199,-67.76175280168634,-3.956780353104792,0.17544869879790181,-72.43290088719235,4.785281117934546,-0.13229140210243592,-5.321363103890982,0.2876937439044339,3.299701457941427,-0.11697616130381987,-45.17003403248937,-19.241224605356393,-0.008210619585699372,8.18912922779121,0.9657488736612546,10.513573118918506,-0.07840556943047124,210.66569985703057,14.151761519678812,-0.0741239349669863,-3.516637340911163,-0.1429533483262227,-14.604160186122174,0.45309893734499446,-259.90303863946195,-6.407370307154312,-0.42623663370291165,-6.668343232983933,2.004026067768101,2.281143178272539,-0.05067708842793264,54.1550460092403,6.3610847163244,-0.18291176477071153,-8.744834333674152,-0.3079126010752033,4.884112817634539,-0.17123706709159328,71.23562795626881,4.292468925518874e-4,0.29144833079699334,-0.0711415178962108,-0.009936639794488047,13.481525019243973,-0.5126116620980516,-102.89657701816554,-125.52695040449397,-0.11550762161025044,37.379130698953134,5.928476853976878,2.0922539862229614,-0.09165954341478873,1.587022584678264,-0.03060154701630862,-0.5088518330199101,0.4484878294696616,0.25606511225564277,-4.939404438252592,0.23407024278148802,-21.10670457126465,-6.650423918413439,-2.005602994790155,-1.933097530387234,-0.6954045420311479,5.9496236433456975,-0.2793443019366329,24.573711244980615,32.273106973254244,-1.514344218773456,2.251203949185387,0.5532151399199048
J662.E,-3.4871579365400405,0.13164759247334137,-23.911166334219825,-5.2963876727271435,0.20300911909515504,-87.23227958871533,4.914658271034844,-0.09875477450481375,-7.538992187537529,-0.22553778616279915,-0.29688322391861766,0.030506839078794323,28.09892760725958,10.567384700173193,-0.0074478590561526965,-1.9672401085754252,-0.1801046827288389,11.170830039945331,-0.05504087870169916,216.9913754039964,13.750728023379205,-0.23604768271322152,-3.070742542947121,-0.12043564701191474,-18.41732552732228,0.5091571941075507,-297.67639507243223,-6.1220381425199975,-0.4199458161899289,-10.310158404108542,-0.8348471011369049,1.4523464381075784,-0.034283036643158744,40.03019747773703,7.880144872189537,-0.11659892588465341,-9.311311758306209,-0.30683850762487597,5.087836460213834,-0.17418584057436176,75.09759590333287,4.6100816366764427e-4,0.31482212465776227,-0.11101185278252224,-0.021011389605593043,3.453037054382032,-0.09833710679272259,104.1936821583319,56.65196897405951,-0.145591434465919,-11.43965453201549,-2.1070576964155783,2.0919740941253524,-0.0911325384454403,1.7393539601514203,0.22544104748179136,-0.3157635019807404,0.3677649008826594,0.18148371737748908,-2.53620768729236,0.12365666819368538,-11.406317581471427,-10.42955889348848,-1.877356978220979,-0.0062136650399092575,-0.07953706421332554,5.996905949871503,-0.28160144300348167,24.62996773773727,30.09954849115188,-1.308311242765105,2.5127870117844915,0.5987496124296475
J681.A,-20.228254059652485,0.5805178066163306,-299.96351771298896,-26.236179783011355,0.554083986621997,-549.5646257099511,-19.173135302182747,-0.1626980114718657,18.960805440622032,0.7425918141823106,-11.423784034574943,0.514538458736409,-41.51203402158566,-5.257276037805182,-0.020388357297733476,-6.5706862943843145,-1.0492215271483372,-26.874647940767673,0.5118767833113602,-636.3922234826359,-21.214251155975887,-1.020708936938811,13.474323227171036,0.5592582090202737,-28.638471340771233,0.6166313016582806,-568.6501970368656,-31.057144757553115,0.13793443368817085,20.73505631774428,-0.5643708046904764,-35.797874907091675,0.8418033310283449,-673.4214314860824,-39.91518493977125,-0.38757839473609695,21.743524621772124,1.37522269062061,-14.405720513095284,0.5061127689741074,-199.4093535319368,-4.263165370678647e-4,0.3339510871589426,-0.14008674424063564,-0.06626283155334638,-17.229804688489985,0.6878776958533879,-64.98090811126153,49.01952967096299,-0.1233098279964861,-19.824536283005624,-2.4191363390086305,-1.5120390977189502,0.07144986181944045,-0.7954745330367873,0.7218809443692933,-2.434602150316329,-0.32618541963234243,-0.49450149154408635,-11.542977626164717,0.5400847790417419,-76.38374763488285,-30.27461174731551,-2.3827869042620295,-3.6138087529831537,-0.6090324553867996,-3.9450507729337705,0.22086736880135013,10.453023919704629,-46.60681440223371,-7.673552018358375,-7.672471173223233,-1.1576670275647976
J297.A,-18.394025358864482,0.5766592352679526,-214.94369478510546,-21.67949742200338,0.470448953166426,-401.16429222671945,-15.818115416910645,-0.2612227491053885,-0.8553445265130253,-0.29883490701887894,-13.430339077685797,0.6108217463430379,-36.49963341228898,8.50575305419814,-0.017643455922891856,-9.54416403819541,-1.35799784055911,-29.843011501507803,0.5400026125793653,-538.4446216799828,-25.430110555991316,-1.4682202760786336,-1.5897626168132764,-0.10276849451860853,-34.89428776171662,0.6510918426146851,-633.8918791911229,-45.68505866494766,0.21586226020568297,3.329677817463394,0.2174382178581758,-24.459151627098446,0.7208653852962703,-425.7772819557323,-8.017840025212266,-0.8766155546538813,-3.3891601188350458,-0.447705438923443,-12.042843239400892,0.4303849997942594,-83.97916044409294,5.054738906210991e-4,2.8612104502128495,-1.2225796701516645,-0.1984945850340127,-15.741688023787685,0.6237282270719601,-50.16416851973524,44.98929376229904,0.04871684063775952,-20.39551720042403,-2.2576593118718824,-1.025459106417117,0.05820765270869792,1.7961478374669726,4.980463866274329,-2.608841363151129,-2.0001568369489022,-1.121731264574581,-16.900736521108477,0.7804043735388713,-102.77035806220923,-29.0813797598233,-3.0854065359342817,-5.514521310416,-0.9850085439013491,-1.3030657989925778,0.08995469706176133,9.395254461715732,-35.72009082569943,-5.474468720284506,-0.6912038555197622,-0.5866209843221758
J300.A,2.0379054195859476,-0.04059687292074678,7.348752909909584,8.69553741120444,-0.2204843486440703,142.94885639066604,11.958412263033662,-0.020891449704585913,-7.311245735271495,-0.09624154542033916,-4.119340086276709,0.17652751216525883,-65.4010042208848,-10.08281907670878,-0.0025929870026318164,5.015539596775436,0.6914729792717413,5.25532500680371,0.027769270835474532,107.34553753491322,10.699033243610732,-0.3118971027766707,-2.9497483143351757,-0.09791735784151033,-17.610953100676554,0.49847258680039747,-286.0211211573982,-6.583649971143256,-0.42820204232773307,-9.170388627171569,-0.11947217410898803,28.166587890354215,-0.8269662064577235,455.3879757264189,48.70818243045525,0.10008804980578416,-9.846111366482086,-0.32954155286301534,4.779713632007002,-0.16458188645862898,58.53978656619742,3.428942710341292e-4,0.14051496863593146,0.027694331998568383,-0.004369306085501112,-8.054882195187414,0.3521613160136497,-193.55589775367443,-113.4456198487071,0.2621359587597087,22.427789957880112,3.038394601767026,1.6986207928140278,-0.07248183843560697,1.295279766713792,-0.17269653676319419,-0.14051003406846455,0.39500267151752727,0.18718493456280566,-0.5579487493064383,0.030867624422875068,10.438168767598007,-7.234416167994369,-2.058677063884671,-1.258125628691079,-0.4660318525899633,6.367048589202546,-0.29283253177380864,-19.288948552985794,50.7985133650541,0.5397975368553797,8.147972188816558,1.7306584348059955
J317.A,3.804369680468459,-0.02294156295395908,81.98142570947333,5.5055051050096795,-0.007985221405256577,124.0276207834799,3.3411325457327545,-0.21727186155501504,-2.8380717210781183,0.05404647811120606,-0.369001333197119,0.0279024076835136,38.25575402285337,20.603775902538793,-0.011576132979635282,-4.850091586989427,-0.6973516651302449,15.154845544786951,-0.1239328619208644,310.07511550602396,5.767794093843132,-0.37930384220580227,-4.438534526880377,-0.16969027694792882,14.467019086379228,-0.18355245250265417,289.0624150807453,-7.806633381478768,-0.2834144519359251,1.1092843567251516,0.8124068417086201,-8.799635352575285,0.28573261868036665,-138.92088984650502,-3.274392145381158,-0.7545931922382466,-5.164605995582279,0.029650840600625783,-2.8250836336373215,0.11322204147205532,-40.84231173329586,3.3366230406435066e-4,2.6989777142076488,-0.5189755095552303,-0.06575106382269988,1.7389127059192175,-0.03169164459900171,121.87458432177014,75.78813590313895,-0.11393302225556069,-16.911816874966394,-2.9532917296618093,2.6385754909484014,-0.11126631133848375,3.967347632756779,5.649827159441656,-0.8054605191083968,-0.7046291920878174,0.2415556134422518,-0.836472238021497,0.04536690672262586,10.29993299557131,-6.813171836637224,-2.2009073672176744,-3.354300902213272,-1.0228010829637932,6.529275967618992,-0.30077239730744765,42.49877801512851,38.03977366856438,-3.54109548603599,0.6919736256801754,-0.04534830749551605
J321.A,-5.9962413921862785,0.25799724116848305,-73.78513972885169,-4.510980246409928,0.21112431732385492,-84.1542663377847,-4.115251597383377,0.3777799821285538,0.46441183609202835,-0.3527572051148041,-7.040130596193274,0.29939991679377853,-8.108623913290714,10.823616775663933,-0.014089073528636883,-4.976587878976241,-0.8510613568079991,5.786851862770186,0.06546985485404797,117.33808107494465,-7.9106248970397814,9.908932994495942,-2.557777529718748,-0.18619594239397624,-16.724125070099092,0.4862001976737539,-331.54769559270454,-13.00998601445902,-0.24876569032193974,6.022088004924563,-0.41980183843036395,-10.90805149538327,0.34760249732213605,-180.70160790557318,-6.37957335258702,-0.7907950768807439,-1.3859618881945477,-0.342930042194528,-5.230551165368901,0.20646398173681152,-143.8000673372896,-4.260936844543752e-4,6.363476011489382,-0.05119534627151289,0.06291594350141969,-15.82987319787297,0.6436064964385968,-56.67441679401629,9.213478956303536,-0.14934695882923932,-13.518275651677827,-2.202326898308078,1.241177499180874,-0.04239756907016235,3.9209367168704063,6.149030074019959,-2.4962750435793275,-1.3321870526544817,-0.3249123436009352,-0.6738540946952345,0.03724679677391694,11.700287715888821,-10.062258413331113,-2.3117320018267065,-2.4822130783013105,-1.0088996204620555,6.555127452942576,-0.3012870364413479,42.840772153815315,35.44264332456528,-3.339429542674556,0.6371647250438969,-0.06285945362519837
J322.A,-8.742652565101665,0.33106160156413494,-100.66950791412664,-8.30843799257164,0.30776823989111696,-148.8498423484549,-2.058118579881645,-0.2272117051301049,-2.7629890895172244,0.055426819328620765,-7.069614150232919,0.2997741428468157,-14.735616687841217,10.766131126610864,-0.013224432674899268,-4.7516585475181,-0.8486404943943514,-1.0340724630011422,0.23690578221058944,-1.918053289015579,-0.3819862894387,-0.7279325040034748,-4.019297415430159,-0.016336267180404842,-13.825485957147,0.4417632652438317,-256.7468475835713,-11.636217422443703,-0.2724955102842522,-0.7353769602836034,1.4421979579653645,-13.883156601159447,0.43087643587774366,-240.23005666762452,-4.286935656665364,-0.565285894324597,-3.5544949097568734,-0.39773148120956503,-6.994442864814341,0.2626937766524126,-57.58295916499322,3.30808917221399e-4,1.1152473601990411,-0.2691994295835126,-0.05235268391507761,-15.716244292508215,0.6343493921196294,-83.91063094588583,-13.748242093910816,-0.1372891244374544,-6.1998381543157635,-2.8906463887133267,1.1351710521750722,-0.03893313550817451,3.152622124828675,4.3944257062657215,-2.5106753008067226,-0.8848281227973138,-0.28168495539053906,-0.6353025654907402,0.03451058797055148,13.871144435973465,4.363260412068583,-2.2345684667897565,-5.200975042329534,-0.7262087629342077,6.876441354923358,-0.32193788937840373,39.005934385783185,45.160156307415804,-2.6335006801271494,0.8686526023970348,0.1935098712209876
J469.C,-13.942490273492705,0.5694896264924005,-132.57731673076668,-8.698905321152491,0.22398096607950274,-136.61679496396144,-4.971674840112529,1.0082574734903385,-1.8537112176624442,0.31107296200194984,-13.480739708491546,0.48992386954986905,-125.70558161603411,-24.399577338374957,-0.00847997316555113,-0.3461887163153283,0.051979996504844424,7.098930634194576,-0.17504600474638665,134.48767735275908,11.157627341084954,-0.45786987526251577,1.4715003589630444,-0.25105707768406793,20.49571157063566,-0.37391723367070956,416.26476097157916,-3.5629225650123377,4.073187831723294,-2.489442034337838,1.9883773535063458,-20.382531213618027,0.4927771191082659,-352.5130092072001,-4.349493511885678,0.7057009297724354,-3.1538848060750277,0.11470820615961319,0.8882903136180611,-0.02564134965114217,32.050633654870424,-6.111236781346468e-4,-2.693797020046422,0.46005748086353687,0.037001706148779616,-18.058998194699154,0.46618903664435635,-234.16365787895037,-55.27185594471454,0.01781880461904526,0.29389755640004833,0.25503167393734255,-7.439692191448904,0.3239152049201693,-6.819342496384138,-5.364237460035115,-1.7755103137807022,0.13722919853192198,-0.34252172970135913,-14.829327471250172,0.5368643785725714,-159.06651607481422,2.979840441727991,1.1862293418198226,4.297296591381654,1.2514432932120927,-28.080128953538427,1.2665508565169965,-160.7561483859863,-119.58423020186544,-4.9406650255607705,-5.886777762960236,-0.7832419501896726
