Effect,solution,std.error,z.ratio
SITE_KING,-2.5288275950482094e-6,0.0053252799273430735,-4.7487223761961186e-4
SITE_PKLE,4.232966091649868e-6,0.005325279845024559,7.948814362506703e-4
SITE_TMPL,-1.704138496588548e-6,0.005325279850720378,-3.200091909457153e-4
"vm(PLANT_ID, k_use)_J250.C",-8.109456838554653,12.747492213368316,-0.6361609564311208
"vm(PLANT_ID, k_use)_J251.C",-6.6678078506025376,12.673398183494605,-0.526126280738694
"vm(PLANT_ID, k_use)_J352.A",7.779983791880085,13.871101507940624,0.5608771435654457
"vm(PLANT_ID, k_use)_J344.C",24.404224854597167,13.729421067059356,1.777513030986397
"vm(PLANT_ID, k_use)_J004.B",-6.766513283525347,12.204803727799813,-0.5544139368757519
"vm(PLANT_ID, k_use)_J301.A",-7.587137817422626,11.598073437971841,-0.6541722517967942
"vm(PLANT_ID, k_use)_J013.C",-8.08905695702087,12.407492161850122,-0.6519493908601982
"vm(PLANT_ID, k_use)_J018.C",-5.514670713134544,11.811908968325255,-0.46687379050436745
"vm(PLANT_ID, k_use)_J384.C",5.708637967327001,13.486232858023453,0.4232937416567536
"vm(PLANT_ID, k_use)_J488.C",-0.5752093464233832,12.783452690335341,-0.044996399670509835
"vm(PLANT_ID, k_use)_J022.C",-7.402621735777299,12.752220969775767,-0.5804966643318341
"vm(PLANT_ID, k_use)_J065.A",-6.092918616249266,12.168460060556304,-0.500714025104892
"vm(PLANT_ID, k_use)_J311.A",-8.441413612528905,12.801861821094013,-0.6593895271248541
"vm(PLANT_ID, k_use)_J016.B",-7.891323561940877,12.262336847778341,-0.6435415744895808
"vm(PLANT_ID, k_use)_J352.B",9.095771493271021,12.34162165096701,0.7369997031596196
"vm(PLANT_ID, k_use)_J001.B",-4.891763364276306,12.145857755629665,-0.40275157693238667
"vm(PLANT_ID, k_use)_J008.D",1.2672675795466315,12.198238705029702,0.1038893901153204
"vm(PLANT_ID, k_use)_J005.B",-5.583567390684682,12.167917704819638,-0.45887616321345315
"vm(PLANT_ID, k_use)_J065.B",-7.7559448543588205,12.306870615369347,-0.630212593985742
"vm(PLANT_ID, k_use)_J020.B",-5.818224195257248,12.029989040636666,-0.4836433495993716
"vm(PLANT_ID, k_use)_J386.B",17.10939139913334,13.227583462235055,1.2934631218151753
"vm(PLANT_ID, k_use)_J022.D",-8.313116492498558,12.058985421018214,-0.6893711371446894
"vm(PLANT_ID, k_use)_J348.A",22.156413769887042,13.55091336566952,1.6350494739357624
"vm(PLANT_ID, k_use)_J005.D",-3.7207139304022516,12.143557620586066,-0.3063940606741803
"vm(PLANT_ID, k_use)_J316.A",-1.356239057760848,12.268785781933987,-0.1105438697738072
"vm(PLANT_ID, k_use)_J016.C",-7.074345508955619,12.253359439574242,-0.5773392630683677
"vm(PLANT_ID, k_use)_J352.C",3.9678433540166935,13.905692589387362,0.28533949880676196
