NumPCs,GR50_G_BLUP
0,1.4047
1,1.2035
2,1.17961
3,1.11041
4,1.11864
5,1.10147
6,1.10489
7,1.10949
8,1.10939
9,1.11376
10,1.11462
11,1.10332
12,1.09818
13,1.10047
14,1.10322
15,1.10198
