NumPCs,cgdd_12c_10d_G_BLUP
0,4.36316
1,3.98716
2,1.46648
3,1.39437
4,1.4033
5,1.40652
6,1.32205
7,1.31183
8,1.28114
9,1.25706
10,1.19518
11,1.19633
12,1.14506
13,1.14112
14,1.1381
15,1.1297
