NumPCs,GR50_G_BLUP
0,5.98546
1,2.27137
2,2.02259
3,2.03079
4,1.3319
5,1.3434
6,1.32485
7,1.3164
8,1.32492
9,1.16504
10,1.17123
11,1.14258
12,1.15138
13,1.10268
14,1.10743
15,1.10776
