NumPCs,dyln_change_sec_G_BLUP
0,32.6317
1,3.31929
2,1.95014
3,1.42264
4,1.43574
5,1.41771
6,1.3145
7,1.32605
8,1.21284
9,1.20902
10,1.21378
11,1.21474
12,1.18833
13,1.19107
14,1.15504
15,1.15773
