NumPCs,cgdd_12c_10d_G_BLUP
0,1.32394
1,1.21983
2,1.22311
3,1.12491
4,1.13011
5,1.08116
6,1.08643
7,1.0907
8,1.08228
9,1.08068
10,1.08473
11,1.07478
12,1.07184
13,1.07464
14,1.0697
15,1.06952
