NumPCs,tmin_10d_G_BLUP
0,6.35109
1,1.36461
2,1.30081
3,1.3188
4,1.28419
5,1.27997
6,1.27825
7,1.28872
8,1.28855
9,1.23002
10,1.23176
11,1.21883
12,1.22742
13,1.11437
14,1.08857
15,1.09274
