NumPCs,cgdd_12c_gr2fl_G_BLUP
0,30.2711
1,3.23283
2,2.07549
3,1.47028
4,1.48271
5,1.36475
6,1.37961
7,1.39112
8,1.18695
9,1.18715
10,1.18848
11,1.17858
12,1.16977
13,1.15986
14,1.1412
15,1.14295
