NumPCs,tmin_10d_G_BLUP
0,10.2222
1,3.96975
2,1.43477
3,1.43389
4,1.44609
5,1.42961
6,1.30681
7,1.31614
8,1.27864
9,1.2742
10,1.20751
11,1.20445
12,1.19993
13,1.19015
14,1.18515
15,1.17438
