NumPCs,dyln_change_sec_G_BLUP
0,1.48664
1,1.51995
2,1.29538
3,1.30928
4,1.24178
5,1.14801
6,1.13107
7,1.13318
8,1.12317
9,1.09043
10,1.08563
11,1.08386
12,1.08355
13,1.08353
14,1.08734
15,1.08359
