NumPCs,dyln_fl50_G_BLUP
0,1.63518
1,1.60229
2,1.31009
3,1.31984
4,1.27941
5,1.11781
6,1.05848
7,1.06484
8,1.02855
9,1.02521
10,1.01846
11,1.02265
12,1.02209
13,1.02436
14,1.02047
15,1.01683
