NumPCs,FL50_G_BLUP
0,1.53797
1,1.55073
2,1.27588
3,1.29148
4,1.23983
5,1.12874
6,1.10267
7,1.10752
8,1.09571
9,1.06716
10,1.06427
11,1.06496
12,1.06391
13,1.06232
14,1.0652
15,1.06358
