NumPCs,dyln_fl50_G_BLUP
0,28.9287
1,3.22189
2,2.00249
3,1.46966
4,1.46053
5,1.44479
6,1.46218
7,1.43325
8,1.22206
9,1.2228
10,1.229
11,1.21401
12,1.19894
13,1.18476
14,1.18558
15,1.18189
