NumPCs,FL50_G_BLUP
0,3.26393
1,2.48633
2,1.61139
3,1.63701
4,1.3535
5,1.27498
6,1.27586
7,1.26159
8,1.26343
9,1.1577
10,1.16527
11,1.1637
12,1.16822
13,1.15376
14,1.0885
15,1.07201
