NumPCs,GR50_G_BLUP
0,17.9454
1,2.80559
2,2.05694
3,1.84047
4,1.85671
5,1.79315
6,1.37202
7,1.37199
8,1.3304
9,1.31573
10,1.22493
11,1.22256
12,1.14894
13,1.1418
14,1.14202
15,1.12499
