NumPCs,cgdd_12c_gr2fl_G_BLUP
0,1.59106
1,1.59106
2,1.27504
3,1.29136
4,1.25477
5,1.13648
6,1.11532
7,1.1204
8,1.10975
9,1.07892
10,1.07641
11,1.07377
12,1.06617
13,1.0564
14,1.05867
15,1.05846
