 ,MI,MO,NE,SD,TX1,TX2,TX3
MI,1.242730262075933,-0.07218497536448754,-0.24873906493742504,-0.009276862182720174,-0.31644387681975533,-0.02995845666482037,-0.2163180968132191
MO,-0.07218497536448754,2.177016381868224,0.08694668375749334,-0.11462810449631161,-0.03008229542043851,-0.12208817862653398,-0.02813089984524298
NE,-0.24873906493742504,0.08694668375749334,2.8056849565776907,-0.021797059322235142,-0.09470691495491101,0.1063930301999378,0.1428130643620556
SD,-0.009276862182720174,-0.11462810449631161,-0.021797059322235142,2.839953206674776,-0.11382568096417786,-0.10601153039227626,-0.13739625165348965
TX1,-0.31644387681975533,-0.03008229542043851,-0.09470691495491101,-0.11382568096417786,2.2153194276970827,-0.15361168175085357,-0.0777961803235811
TX2,-0.02995845666482037,-0.12208817862653398,0.1063930301999378,-0.10601153039227626,-0.15361168175085357,2.369971843008004,0.05641199125052331
TX3,-0.2163180968132191,-0.02813089984524298,0.1428130643620556,-0.13739625165348965,-0.0777961803235811,0.05641199125052331,1.5064637938094385
