 ,MI,MO,NE,SD,TX1,TX2,TX3
MI,-0.20110560845722192,0.9263442614644369,0.9552790264687107,0.9563159959659461,0.48603184410805456,0.8180244447360885,0.8083271514841429
MO,0.9263442614644369,-0.46024532225447234,0.9050459458278216,0.9090655171761581,0.5694008763765613,0.8481558927305936,0.7818189309022856
NE,0.9552790264687107,0.9050459458278216,-0.30957189829637094,0.9065417127458782,0.4846949640903951,0.816479267088624,0.8189840696371021
SD,0.9563159959659461,0.9090655171761581,0.9065417127458782,-0.1336940555873027,0.4484740422893616,0.8264896868234205,0.8138461776072784
TX1,0.48603184410805456,0.5694008763765613,0.4846949640903951,0.4484740422893616,-6.604940806486146,0.6552074839895983,0.523823256915635
TX2,0.8180244447360885,0.8481558927305936,0.816479267088624,0.8264896868234205,0.6552074839895983,-5.303067695360462,0.8295991248961169
TX3,0.8083271514841429,0.7818189309022856,0.8189840696371021,0.8138461776072784,0.523823256915635,0.8295991248961169,-0.9223144259328481
