 ,MI,MO,NE,OK,SD,TX1,TX2,TX3
MI,0.280672203539264,-0.02050656677275977,0.1460444238482811,-0.12326123218530215,0.25184604416939615,0.029548627543164757,-0.09244631936074596,0.06561971322980167
MO,-0.02050656677275977,0.13838102496901702,0.027585611500465432,0.05994431416683557,-0.007919439659177794,0.4736310475613831,-0.08081499968689473,0.12723578735050067
NE,0.1460444238482811,0.027585611500465432,0.23970708667729657,-0.24089932283236562,0.3581937103417641,-0.00855802737435603,-0.27283545701728096,0.28024558526273746
OK,-0.12326123218530215,0.05994431416683557,-0.24089932283236562,0.1406892917307177,0.06017913794134967,0.2983376468053565,0.2777050400960617,-0.14210183690949768
SD,0.25184604416939615,-0.007919439659177794,0.3581937103417641,0.06017913794134967,0.2432676163733248,-0.06254449692485772,-0.16388057017740784,-0.032973440264882754
TX1,0.029548627543164757,0.4736310475613831,-0.00855802737435603,0.2983376468053565,-0.06254449692485772,0.17552920649700007,-0.13299625508340443,0.29945685216746326
TX2,-0.09244631936074596,-0.08081499968689473,-0.27283545701728096,0.2777050400960617,-0.16388057017740784,-0.13299625508340443,0.20800156667891956,-0.08777010725565618
TX3,0.06561971322980167,0.12723578735050067,0.28024558526273746,-0.14210183690949768,-0.032973440264882754,0.29945685216746326,-0.08777010725565618,0.11703050554710678
