 ,MI,MO,NE,SD,TX1,TX2,TX3
MI,0.13204056900970304,0.20377054129075242,0.3772259501731787,0.38779774903779,-0.4388760454361044,-0.38067402986795407,-0.2556155580947649
MO,0.20377054129075242,0.07392729376580073,0.022612732662199445,0.11587494485905725,-0.1557494378079622,-0.01574198399528748,-0.1442932755546496
NE,0.3772259501731787,0.022612732662199445,0.10696445289013054,0.3312137919194654,-0.3368142280209251,-0.3893508361254432,-0.39035669273625767
SD,0.38779774903779,0.11587494485905725,0.3312137919194654,0.12141240010812965,-0.20582048557588703,-0.18423696752199292,-0.12843173710597594
TX1,-0.4388760454361044,-0.1557494378079622,-0.3368142280209251,-0.20582048557588703,0.08247518776820885,0.30831305502986395,0.3238793901049046
TX2,-0.38067402986795407,-0.01574198399528748,-0.3893508361254432,-0.18423696752199292,0.30831305502986395,0.14964657499153192,0.34852362526363534
TX3,-0.2556155580947649,-0.1442932755546496,-0.39035669273625767,-0.12843173710597594,0.3238793901049046,0.34852362526363534,0.07222073876045296
