 ,MI,MO,NE,OK,SD,TX1,TX2,TX3
MI,-0.3051711429100383,0.9236818378099602,0.9579252182003295,0.9190673429293958,0.9606193355174415,0.4746414618302898,0.7990424191665682,0.79897647101176406
MO,0.9236818378099602,-0.7111607103489214,0.9043564539975913,0.9100686590426048,0.9135792525717056,0.579553462524764,0.8424218953014152,0.7783625933364781
NE,0.9579252182003295,0.9043564539975913,-0.47913216880502385,0.9349986750019791,0.9165245897411762,0.46712762693788507,0.8119707001918631,0.8107384528240166
OK,0.9190673429293958,0.9100686590426048,0.9349986750019791,-0.6379842006971679,0.9010054301840043,0.4673776345671968,0.8041857029033711,0.8294809764110506
SD,0.9606193355174415,0.9135792525717056,0.9165245897411762,0.9010054301840043,-0.2204044021088098,0.4244134634936641,0.8262354770374051,0.8135466770616433
TX1,0.4746414618302898,0.579553462524764,0.46712762693788507,0.4673776345671968,0.4244134634936641,12.646519887226928,0.673950892829216,0.525300062335352
TX2,0.7990424191665682,0.8424218953014152,0.8119707001918631,0.8041857029033711,0.8262354770374051,0.673950892829216,9.695801440221167,0.8025265530907845
TX3,0.79897647101176406,0.7783625933364781,0.8107384528240166,0.8294809764110506,0.8135466770616433,0.525300062335352,0.8025265530907845,-1.2223731721450348
