 ,MI,MO,NE,OK,SD,TX1,TX2,TX3
MI,0.05678369971563259,0.1444837159579837,0.04518459410533739,0.5114981187266369,-0.03173065809954317,-0.055203758509318426,0.26684743497206936,0.36686407313747854
MO,0.1444837159579837,0.06570649061343053,0.08014721481563791,0.20385593590710518,0.1556042892978752,-0.09369935761002315,0.16707026174622724,0.21047144567609963
NE,0.04518459410533739,0.08014721481563791,0.04528461003610535,0.24564073947088577,0.008324255152759526,-0.1691716168414034,-0.09525038320956196,-0.05642018075745298
OK,0.5114981187266369,0.20385593590710518,0.24564073947088577,0.1796014948928781,-0.1453025440993764,0.2929035052853834,0.5580456048394162,0.33789815783328175
SD,-0.03173065809954317,0.1556042892978752,0.008324255152759526,-0.1453025440993764,0.039531149637928725,0.15322607678080247,0.14766598562500954,-0.161926875431154
TX1,-0.055203758509318426,-0.09369935761002315,-0.1691716168414034,0.2929035052853834,0.15322607678080247,0.0747643250559518,0.4819260608487256,0.44682934429729465
TX2,0.26684743497206936,0.16707026174622724,-0.09525038320956196,0.5580456048394162,0.14766598562500954,0.4819260608487256,0.11946077824173118,0.2450211764783921
TX3,0.36686407313747854,0.21047144567609963,-0.05642018075745298,0.33789815783328175,-0.161926875431154,0.44682934429729465,0.2450211764783921,0.14004415029156997
