 ,MI,MO,NE,OK,SD,TX1,TX2,TX3
MI,0.06341722507480681,0.06264253498438055,-0.13598338208494812,0.38032420713202697,-0.013766944475532037,0.08211549758905841,0.15715482424057792,0.24171850845191578
MO,0.06264253498438055,0.049673040501692044,-0.18562510311229363,0.1476528458515458,-0.008250982288637491,-0.60918335882433,0.0763002151751145,0.05019536911026283
NE,-0.13598338208494812,-0.18562510311229363,0.08348310061959859,0.2290330888593894,-3.123299060639357e-4,0.1910862361498179,-0.08316096546730962,-0.15928699379663097
OK,0.38032420713202697,0.1476528458515458,0.2290330888593894,0.16717790103437466,0.16580360019477902,0.2515957653128243,0.523094838942938,0.2292486560189198
SD,-0.013766944475532037,-0.008250982288637491,-3.123299060639357e-4,0.16580360019477902,0.04211635650668713,0.19347818144199214,0.17001333723835338,-0.14495418779247635
TX1,0.08211549758905841,-0.60918335882433,0.1910862361498179,0.2515957653128243,0.19347818144199214,0.07930782975529356,0.4667239259287491,0.4293174892084869
TX2,0.15715482424057792,0.0763002151751145,-0.08316096546730962,0.523094838942938,0.17001333723835338,0.4667239259287491,0.19527410548160706,0.15893149464338616
TX3,0.24171850845191578,0.05019536911026283,-0.15928699379663097,0.2292486560189198,-0.14495418779247635,0.4293174892084869,0.15893149464338616,0.13187171164545286
