 ,MI,MO,NE,OK,SD,TX1,TX2,TX3
MI,-0.03464330919250075,0.5851269388794608,0.6632415182817176,0.8464694654962797,0.9618284120460433,0.25455084720275944,0.4730959467999959,0.24183001566159576
MO,0.5851269388794608,-0.13458929245048515,0.475715950762078,0.5761852971234259,0.6681357626920525,0.46696060535868883,0.6264279494808771,0.2618445778488505
NE,0.6632415182817176,0.475715950762078,-0.06232363252053406,0.9031273011265254,0.6346049409130066,0.24003245894590902,0.6051857689138145,0.15056102500299157
OK,0.8464694654962797,0.5761852971234259,0.9031273011265254,-0.11303027974020992,0.8587880156343863,0.3695136700769308,0.6774560398372415,0.3865915166468001
SD,0.9618284120460433,0.6681357626920525,0.6346049409130066,0.8587880156343863,-0.044413223246581306,0.12754822466271915,0.6504331629162279,0.32939658157425844
TX1,0.25455084720275944,0.46696060535868883,0.24003245894590902,0.3695136700769308,0.12754822466271915,-2.326058053293193,0.4779874569515325,0.245212648978728
TX2,0.4730959467999959,0.6264279494808771,0.6051857689138145,0.6774560398372415,0.6504331629162279,0.4779874569515325,-0.5932971355923098,0.4118302502918332
TX3,0.24183001566159576,0.2618445778488505,0.15056102500299157,0.3865915166468001,0.32939658157425844,0.245212648978728,0.4118302502918332,-0.2866678189385452
