PLANT_ID,GR50_G_BLUP,tmin_10d_G_BLUP,cgdd_12c_10d_G_BLUP,FL50_G_BLUP,dyln_fl50_G_BLUP,dyln_change_sec_G_BLUP,cgdd_12c_gr2fl_G_BLUP
J311.A,-1.2820865463410633,0.001398135646944879,-0.0684313219333965,24.724823957327967,-0.4900837645514531,-40.38546866084154,362.90348738360746
J016.B,-0.5164984681964423,-0.31721216452961704,-0.31942404724528767,4.870278479222651,-0.010786765460678803,-19.38616497854378,35.820113753688894
J352.B,1.7594339629872806,-0.21208268759928875,-0.06445719546725902,-35.76349300256438,0.6712217408569459,47.37648353926087,-525.9082045453371
J001.B,1.224133292753447,0.12058483165090161,0.0659218252542299,-5.442521632221928,0.15080598020386451,-2.838366566404881,-116.63186910641159
J008.D,-1.0466255086978302,-0.2339780308355828,-0.41065213435455494,3.8745840362965764,-0.022053672044781366,-16.946943199182158,5.797468131306232
J005.B,-0.29215868751424234,-0.35440504923980726,-0.22082642745407124,22.910209112565802,-0.4987109096648054,-34.37061462903408,254.14077654343302
J065.B,-0.9243114077227813,0.35436616945383315,0.16362620123108354,24.936387821260904,-0.5669991432453954,-39.00049651818621,275.0017660203705
J020.B,-1.7632042528325116,-0.5984854901381481,-0.5561859356372054,-0.7326656577515683,0.06130727703087193,-10.155206455174012,-38.92627116935531
J386.B,0.8508494374950432,-0.45225647705942784,-0.11422850089994095,-37.50198449381306,0.39161024862393823,54.66196658652226,-535.5628930434236
J022.D,-3.1622906764204335,-0.013502444449612502,-0.0637102366672849,34.796833255392485,-0.7702940929110219,-49.27484024095433,459.0057427815357
J348.A,1.9964122544977259,0.04830381458055189,0.18476958290046508,-39.651118174382546,0.8552647298893438,57.10398754744831,-560.8541856136732
J005.D,-0.04181153576356214,-0.2697971947356731,-0.1594475987854087,10.179069801195347,-0.19200383593508993,-23.644445944859655,89.46167483124304
J316.A,-1.9547596089211907,0.46945755873447237,0.24270401202113348,32.8638145904101,-0.6406518212934261,-48.840073564355386,402.2567183743662
J016.C,0.9163635396494823,0.1870784890590736,0.06057712502115898,15.891011549760321,-0.3242485644597866,-30.656760564385888,132.79305029311286
J352.C,0.7016934083895018,-0.3601017134871022,-0.13302410714801788,-30.551486161326448,0.858746494644136,39.480990421213235,-410.22285941579247
J258.A,0.8586495015503741,-0.1945664452368869,-0.13481370640428483,-39.58862634192353,0.8983701656728585,60.72463755307999,-525.9836144883068
J009.C,-3.497748880750831,0.15148847921095465,-0.02273760482231355,26.12440935595241,-0.5541086931588534,-41.863445736488174,362.63020059803665
J023.B,-0.2818475662993273,-0.5209221761956035,-0.5510815561224892,-1.7564299229124407,-0.08665288055839547,-6.863614129099558,-71.62496146236063
J073.A,-3.5073834637800236,-0.38627101666305114,-0.30500963349119997,46.18653977791748,-0.9173660421893346,-53.89178783636525,657.2424816193769
J020.C,-2.2048203387402756,-0.5199080027666518,-0.5552508328129651,7.064013226800812,-0.11889954515972243,-20.35806151310995,71.89604830775535
J394.B,0.9293989694062259,-0.26640147989015533,-0.04876865035881806,-49.77869034513439,0.9179413435449597,78.61922880011933,-662.2614644700678
J348.C,0.4734032075792324,-0.4372909156806281,-0.1937765670283882,-32.29571573630379,1.0152043614785424,38.099630717645134,-387.8923133011419
J320.A,-4.299644839348039,-0.09818794296642282,-0.155143315180689,47.16320919930962,-0.9096877519031291,-57.60904582974175,693.3854529866385
J016.D,0.7766117728163776,-0.003517872849630198,0.05171831214714519,20.16525733067171,-0.341497911970255,-34.11349315990767,227.05445760289433
J353.C,2.228924590689817,-8.315620038122509e-4,0.15746428007528693,-35.99437506658279,0.5686798883718724,48.93154338482262,-569.452599040545
J003.D,-0.6247245168267433,-0.2475045459884042,-0.13474731965264505,22.506668084507375,-0.37870303765335767,-41.593716698471596,275.22198609674496
J030.C,-0.8197874553806825,-0.2558581154546863,-0.42665822917741875,16.032718349665352,-0.27805099517658644,-31.39206823008335,162.8712702734361
J086.A,-0.49084094947804835,-0.1712115931301553,-0.1396251973358833,-24.946419515308047,0.650851095345359,25.316494855195053,-291.0779667337439
J396.A,2.9896162738309298,0.10537976881089878,0.15918686468638402,-28.468102601354627,0.7627070892227228,41.38243608326782,-451.9706058780171
J354.C,1.5165135404242673,-0.10990901320783973,-0.030853253781811037,-40.259782814359106,0.8694155740539306,56.996431511575466,-547.8985105309168
J003.E,-0.7566805830295288,-0.5165701694848447,-0.4139447662451296,26.023566836235805,-0.4936343533170894,-41.324310414523744,337.4920585901477
J296.A,-2.7424431690716777,-0.7572435068701643,-0.6289592795091558,4.735470625404984,0.021472904833688744,-18.24229553344756,49.71151738629921
J350.B,-0.611927205923413,-0.8269477094020886,-0.4265521436160574,-31.60782209597762,0.8350191994933607,39.67603340913761,-392.34229613087683
J336.A,1.2631753357200208,0.3553048196093637,0.2289313584733632,61.630563113942955,-1.225984407332529,-63.378387326001196,819.8006315439593
J016.E,0.7218929539509708,0.05340071827465326,-0.04517195823011717,16.161518825101933,-0.21025949383987555,-33.67011968055325,152.14823976622617
J458.C,1.9369385642922887,0.8326674983102708,0.4648417464337906,33.06100448799892,-0.7275139869663539,-41.0506569046568,400.74797846740506
J018.B,-1.3532059270318557,-0.27591364296677834,-0.37633490688855953,-4.564492627017986,0.027374875633483467,-2.9362857045503508,-99.8667518740405
J003.F,1.3948021854965142,0.27088391584299093,0.05811899336191045,18.19597403315073,-0.19465367566483063,-33.00038065744656,181.07309586613553
J299.A,-0.522810099073067,-0.4647064257124426,-0.264711391869872,-1.055051964194363,0.1623982114496174,-13.610256311288206,-5.230617065991789
J013.B,1.8961786710540858,0.4745108099433755,0.3261460829718627,4.550504486338624,-0.12017352338815551,-17.243688514717967,-38.724095050231284
J350.C,1.4801953939302388,-0.14611205768566607,-0.030399613987230123,-40.38525174097459,0.8769446941456281,58.978127790040595,-581.8874141537261
J008.B,-0.4633333836789021,0.11810612052243784,-0.03736812102424749,-0.10747765293371982,0.13312990736153493,-13.596217499553072,-30.97458134247992
J461.C,0.5351234104797965,0.8555748797525163,0.5729261835364248,21.269276913549106,-0.46635913394652545,-32.92145048587093,293.04627490232446
J022.B,-3.236737024326094,0.04145104259982519,-0.05161169070607609,11.49857793899918,-0.3291885274851767,-22.86125676064718,144.56572518603537
