Estimate,SE,site,subpop,phe,bic,loglik
0.3639226300782847,0.13162644208343022,tx_sites,Gulf,GR50,3474.740694782175,-1727.6139151307825
0.36147423820433766,0.13537715375214823,tx_sites,Gulf,DYLN,-1277.8328030541597,648.6728337873849
0.052988923228526975,0.04637177619509486,tx_sites,Gulf,cgdd_12c_jan2gr,5235.2022086129655,-2607.844672046178
0.0796234051781485,0.0671495309485588,tx_sites,Gulf,cgdd_8c_jan2gr,5946.662221954411,-2963.5746787169005
0.02152398192315708,0.019925515990190455,tx_sites,Gulf,tmax_18d,1070.3147977205447,-525.4009665999673
0.035460422299573226,0.02915476841080275,tx_sites,Gulf,tmin_18d,1063.6880792611719,-522.0876073702809
0.027538549365058895,0.024073824373345976,tx_sites,Gulf,tave_18d,1019.6629150803788,-500.0750252798844
0.04437685014012003,0.03513560910116439,tx_sites,Gulf,cgdd_12c_18d,644.7300448160019,-312.60859014769596
0.038848093911289086,0.03175376892638113,tx_sites,Gulf,tmax_10d,1547.5425302623862,-764.0148328708881
0.07488333127701496,0.04948250215340512,tx_sites,Gulf,tmin_10d,1686.9866451726293,-833.7368903260096
0.051742020848507604,0.03952742828251779,tx_sites,Gulf,tave_10d,1554.917773856515,-767.7024546679525
0.10138030253175409,0.06435387918623914,tx_sites,Gulf,cgdd_12c_10d,1122.4690164620101,-551.4780759707
0.033207378702221214,0.026573629072064668,tx_sites,Gulf,tmax_5d,2562.6583076470642,-1271.572721563227
0.037245585944655844,0.030112917581817854,tx_sites,Gulf,tmin_5d,2524.613734338143,-1252.5504349087664
0.035000050060636015,0.027796898838950895,tx_sites,Gulf,tave_5d,2496.627581952184,-1238.557358715787
0.09119532734759418,0.043684667945029364,tx_sites,Gulf,cgdd_12c_5d,1950.0470353793376,-965.2670854293638
0.28594813012626663,0.12488285331169804,tx_sites,Midwest,GR50,1150.3631436276046,-567.1970568450947
0.299110355677659,0.1295372497581104,tx_sites,Midwest,DYLN,-288.8270599073148,152.398044922365
0.116429148470455,0.08616267363350594,tx_sites,Midwest,cgdd_12c_jan2gr,1882.3508831901872,-933.190926626386
0.16701561176226606,0.10740724560820201,tx_sites,Midwest,cgdd_8c_jan2gr,2072.6590741483737,-1028.3450221054793
0.29839647627143356,0.11145146936965956,tx_sites,Midwest,tmax_18d,609.0736056059746,-296.5522878342797
0.2622930368443483,0.11605943596510487,tx_sites,Midwest,tmin_18d,502.5731916123661,-243.30208083747544
0.29060392884936725,0.11493665291974232,tx_sites,Midwest,tave_18d,554.6967035985977,-269.3638368305912
0.25548078865587137,0.11371889459814616,tx_sites,Midwest,cgdd_12c_18d,369.6989836803583,-176.86497687147155
0.3492680687267174,0.11031539091847636,tx_sites,Midwest,tmax_10d,696.2101295575225,-340.1205498100536
