Estimate,SE,site,subpop,phe,bic,loglik
0.999998818,0.713012925,OK,Midwest,CRAIN_5d,393.4002134,-192.7298148
1.12E-06,1.049760588,OK,Midwest,crain_2d,305.071165,-148.5652906
0.387247575,0.914963312,OK,Midwest,crain_3d,330.150096,-161.1047561
0.999999111,1.73E-07,OK,Midwest,crain_7d,405.2520661,-198.6557411
0.841247181,0.037246072,MO,Gulf,dyln_fl50,-73.26667371,41.90119502
0.853518267,0.035508767,MO,Gulf,dyln_change_sec,1261.970618,-625.7174509
0.843062991,0.037007954,MO,Gulf,FL50,1210.234456,-599.8493698
0.940993947,0.013927898,MO,Gulf,GR50,1182.411949,-585.9381164
0.82273256,0.043387175,MO,Gulf,cgdd_12c_gr2fl,2138.486924,-1063.975604
0.832999547,0.040697425,MO,Gulf,crain_gr2fl,1847.537858,-918.5010709
0.257573062,0.15309977,MO,Gulf,CRAIN_5d,1288.936626,-639.200455
0.845998193,0.037681228,MO,Gulf,crain_2d,766.8998549,-378.1820693
0.39529834,0.13658372,MO,Gulf,crain_3d,969.9431285,-479.7037061
0.268540653,0.15367283,MO,Gulf,crain_7d,1285.519071,-637.4916773
0.724932471,0.112378372,MO,Midwest,dyln_fl50,-171.818431,90.68833898
0.760792878,0.109176708,MO,Midwest,dyln_change_sec,965.0223015,-477.7320272
0.748777341,0.109013673,MO,Midwest,FL50,737.4584777,-363.9501153
0.835185356,0.10192394,MO,Midwest,GR50,502.8257717,-246.6337623
0.761745502,0.106030985,MO,Midwest,cgdd_12c_gr2fl,1330.374136,-660.4079443
0.831974337,0.091480153,MO,Midwest,crain_gr2fl,1026.217521,-508.3296368
0.388697291,0.282019201,MO,Midwest,CRAIN_5d,784.755927,-387.59884
0.225360052,0.380186056,MO,Midwest,crain_2d,695.5566226,-342.9991878
0.092072761,0.312882603,MO,Midwest,crain_3d,728.7953861,-359.6185696
0.369913713,0.278691144,MO,Midwest,crain_7d,809.3017722,-399.8717626
0.431451275,0.179023433,NE,Gulf,dyln_fl50,-64.54854283,36.76290778
0.189111688,0.227046481,NE,Gulf,dyln_change_sec,500.9251674,-245.9739473
0.402672128,0.186584568,NE,Gulf,FL50,503.4227036,-247.2227154
0.155328908,0.176241907,NE,Gulf,GR50,454.6340962,-222.8284117
0.013554871,0.094356287,NE,Gulf,cgdd_12c_gr2fl,904.0534531,-447.5380902
0.066227254,0.112566048,NE,Gulf,crain_gr2fl,801.6793663,-396.3510468
0.264646386,0.194138667,NE,Gulf,CRAIN_5d,559.005461,-275.0140941
0.86292806,0.046239479,NE,Gulf,crain_2d,383.9875908,-187.505159
0.331593297,0.2281965,NE,Gulf,crain_3d,484.4443076,-237.7335175
0.365105514,0.18860003,NE,Gulf,crain_7d,568.1927421,-279.6077347
0.999999176,1.43E-07,NE,Midwest,dyln_fl50,-46.72075639,27.55003294
0.999999757,4.23E-08,NE,Midwest,dyln_change_sec,522.3852628,-257.0029767
0.99999919,1.41E-07,NE,Midwest,FL50,413.3511578,-202.4859241
7.49E-07,0.719743702,NE,Midwest,GR50,300.4839379,-146.0523142
0.999997824,3.79E-07,NE,Midwest,cgdd_12c_gr2fl,736.2319774,-363.926334
0.999999754,4.28E-08,NE,Midwest,crain_gr2fl,572.2455856,-281.9331381
0.999999431,0.673131466,NE,Midwest,CRAIN_5d,465.8866406,-228.7536656
0.310606429,0.970932293,NE,Midwest,crain_2d,410.2067973,-200.9137439
1.62E-06,1.133313848,NE,Midwest,crain_3d,428.895118,-210.2579043
0.999998433,2.73E-07,NE,Midwest,crain_7d,472.8354768,-232.2280837
0.873764506,0.024632491,MI,Gulf,dyln_fl50,-285.5218031,148.3481502
0.991877329,0.001554642,MI,Gulf,dyln_change_sec,946.5024732,-467.6639879
0.884759268,0.022521439,MI,Gulf,FL50,1361.668069,-675.246786
0.580346665,0.072289601,MI,Gulf,GR50,1163.362423,-576.0939627
0.8493908,0.029511441,MI,Gulf,cgdd_12c_gr2fl,2429.132039,-1208.978771
0.670455623,0.060855554,MI,Gulf,crain_gr2fl,2153.339714,-1071.082609
0.0832949,0.091612297,MI,Gulf,CRAIN_5d,1564.862024,-776.8437631
0.570520743,0.082159621,MI,Gulf,crain_2d,1575.973181,-782.3993417
0.503204855,0.093205273,MI,Gulf,crain_3d,1589.382922,-789.1042125
0.413772794,0.110560942,MI,Gulf,crain_7d,1700.528469,-844.6769858
0.999998949,1.44E-07,MI,Midwest,dyln_fl50,-15.68714052,12.51639909
0.999999029,1.33E-07,MI,Midwest,dyln_change_sec,816.0588311,-403.3565867
0.999998993,1.38E-07,MI,Midwest,FL50,687.2400686,-338.9472055
1.77E-06,2.41E-07,MI,Midwest,GR50,417.5117598,-204.0830511
0.999999084,1.25E-07,MI,Midwest,cgdd_12c_gr2fl,1168.509032,-579.5816869
0.91086563,0.196162274,MI,Midwest,crain_gr2fl,808.4791914,-399.5667669
