NumPCs,crain_gr2fl_tx_sites
0,1.28182
1,1.30009
2,1.14673
3,1.15246
4,1.15647
5,1.12317
6,1.12331
7,1.12527
8,1.1253
9,1.11987
10,1.10996
11,1.09274
12,1.06165
13,1.05911
14,1.06248
15,1.06189
