NumPCs,crain_gr2fl_tx_sites
0,34.2513
1,3.15524
2,2.12847
3,1.39385
4,1.40939
5,1.34526
6,1.25126
7,1.26836
8,1.14901
9,1.14963
10,1.13315
11,1.13509
12,1.13158
13,1.13513
14,1.13293
15,1.13572
