NumPCs,crain_1d_tx_sites
0,1.06214
1,1.0871
2,1.05529
3,1.03489
4,1.02838
5,1.03198
6,1.036
7,1.03654
8,1.03991
9,1.03232
10,1.0276
11,1.01868
12,1.02306
13,1.01903
14,1.0175
15,1.00944
