NumPCs,cgdd_12c_gr2fl_tx_sites
0,1.32662
1,1.35839
2,1.13852
3,1.15136
4,1.16208
5,1.12872
6,1.13071
7,1.13653
8,1.14168
9,1.12725
10,1.12344
11,1.11283
12,1.08399
13,1.05226
14,1.05559
15,1.05678
