NumPCs,dyln_fl50_tx_sites
0,3.24839
1,2.32335
2,1.46439
3,1.46119
4,1.28782
5,1.20198
6,1.20527
7,1.20548
8,1.21023
9,1.12907
10,1.135
11,1.13788
12,1.14235
13,1.13563
14,1.08371
15,1.08033
