NumPCs,cgdd_12c_10d_tx_sites
0,1.86958
1,1.97572
2,1.60627
3,1.63111
4,1.22361
5,1.19538
6,1.20243
7,1.1938
8,1.20038
9,1.14333
10,1.14929
11,1.15443
12,1.14014
13,1.14363
14,1.14712
15,1.15052
