NumPCs,GR50_tx_sites
0,28.5153
1,2.10529
2,2.10762
3,1.6243
4,1.61584
5,1.35367
6,1.30084
7,1.31023
8,1.22705
9,1.15605
10,1.14193
11,1.1448
12,1.13963
13,1.13344
14,1.13204
15,1.13068
