NumPCs,GR50_tx_sites
0,2.8784
1,3.04924
2,2.30382
3,2.326
4,1.32736
5,1.33498
6,1.1591
7,1.15174
8,1.15889
9,1.13556
10,1.141
11,1.14237
12,1.14622
13,1.14976
14,1.12954
15,1.12876
