NumPCs,crain_1d_tx_sites
0,5.97347
1,1.28862
2,1.02151
3,1.03044
4,1.03158
5,1.03208
6,1.03935
7,1.03357
8,1.01387
9,0.970908
10,0.95229
11,0.952853
12,0.956677
13,0.943972
14,0.945897
15,0.937592
