NumPCs,GR50_tx_sites
0,1.53645
1,1.14657
2,1.14324
3,1.15475
4,1.15321
5,1.09868
6,1.10401
7,1.10507
8,1.10984
9,1.10359
10,1.10504
11,1.09276
12,1.08224
13,1.08532
14,1.08247
15,1.08574
