NumPCs,FL50_tx_sites
0,3.23654
1,2.62258
2,1.57239
3,1.59464
4,1.28166
5,1.22386
6,1.22294
7,1.21902
8,1.22541
9,1.14441
10,1.14478
11,1.14955
12,1.15378
13,1.14464
14,1.08473
15,1.07929
