NumPCs,dyln_fl50_tx_sites
0,1.62022
1,1.24947
2,1.17114
3,1.16537
4,1.15434
5,1.15613
6,1.16094
7,1.16614
8,1.12247
9,1.12721
10,1.10888
11,1.11479
12,1.12205
13,1.06405
14,1.06547
15,1.06871
