NumPCs,FL50_tx_sites
0,29.303
1,2.97593
2,1.98554
3,1.35952
4,1.37156
5,1.24189
6,1.24122
7,1.2451
8,1.11521
9,1.11585
10,1.12118
11,1.1182
12,1.10512
13,1.10572
14,1.11011
15,1.11104
